,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9,Block 10,Block 11,Block 12,Block 13,Block 14,Block 15,Block 16,Block 17,Block 18,Block 19,Block 20,Block 21,Block 22,Block 23,Block 24,Block 25,Block 26,Block 27,Block 28,Block 29,Block 30,Block 31,Block 32,W/P 1,W/P 2,W/P 3,W/P 4,W/P 5,W/P 6,W/P 7
Block 1,0,28,86,23,61,32,55,4,76,65,24,20,35,47,19,100,13,67,9,16,29,27,63,72,15,57,74,61,18,29,44,17,44,12,75,34,38,57,74
Block 2,21,0,58,9,37,16,27,100,85,91,54,3,50,37,48,82,85,16,99,69,24,58,66,11,26,95,10,87,76,65,85,32,2,33,8,3,62,74,31
Block 3,5,18,0,12,34,98,53,17,13,16,40,29,28,20,15,65,85,26,72,40,53,17,5,30,78,79,69,83,44,86,71,1,67,49,67,72,11,56,76
Block 4,52,64,60,0,11,27,21,82,57,99,62,98,64,84,35,88,57,40,49,93,11,52,94,55,63,76,3,71,26,82,96,10,22,28,76,37,18,54,2
Block 5,58,44,12,96,0,4,5,53,16,55,25,76,4,82,7,72,74,20,70,3,23,62,35,78,48,39,22,22,82,73,5,3,31,21,27,52,91,96,43
Block 6,9,18,1,21,27,0,90,13,20,45,92,25,91,60,32,13,49,85,95,20,2,64,91,30,88,10,43,17,81,50,26,72,71,36,81,69,99,9,5
Block 7,31,20,17,68,62,7,0,26,93,77,67,17,11,2,77,96,65,82,11,6,48,71,10,19,84,57,18,1,96,74,63,76,66,24,91,54,82,55,27
Block 8,83,78,94,44,58,50,10,0,71,91,93,1,55,9,62,4,95,58,83,46,59,91,66,93,87,44,52,17,13,60,56,40,32,77,17,99,44,8,14
Block 9,5,54,10,67,8,22,89,49,0,93,62,46,44,50,93,74,96,19,50,20,81,43,24,21,43,88,87,16,53,60,50,2,29,46,79,69,31,29,11
Block 10,43,10,66,65,11,44,29,98,41,0,15,20,25,76,52,70,100,37,6,87,1,52,22,23,42,34,67,96,40,75,15,74,66,6,85,21,19,44,97
Block 11,47,32,5,92,28,100,100,91,4,53,0,67,27,93,97,66,59,21,4,72,66,54,41,8,79,2,18,39,91,17,87,67,82,20,90,37,38,54,84
Block 12,58,25,5,74,60,11,4,44,9,54,70,0,97,47,52,88,46,38,40,16,52,47,7,91,98,54,37,82,92,48,5,82,87,17,70,67,15,45,57
Block 13,36,22,25,59,58,85,82,75,38,60,26,37,0,34,99,79,58,9,84,71,32,25,65,39,76,62,48,82,68,49,77,31,45,41,4,8,35,24,10
Block 14,45,73,24,38,1,44,42,30,3,24,21,79,28,0,4,83,15,91,16,34,92,1,18,66,41,51,51,99,99,68,25,13,74,43,85,36,87,38,15
Block 15,23,36,20,86,14,42,88,83,48,29,1,82,73,12,0,79,21,38,40,85,73,39,12,40,40,63,27,55,70,42,56,17,60,67,9,94,96,57,93
Block 16,39,53,76,95,44,3,33,50,66,68,40,88,68,96,67,0,72,91,79,90,19,62,5,80,77,20,50,76,6,2,35,39,82,47,6,42,8,40,26
Block 17,20,29,26,16,57,24,15,64,88,69,78,76,90,92,47,91,0,44,28,37,93,30,67,15,94,55,90,15,100,82,54,99,51,73,36,80,77,34,35
Block 18,38,2,71,95,25,72,37,87,20,20,17,63,24,75,25,27,98,0,65,66,39,64,96,43,40,75,89,69,92,4,73,65,32,90,54,34,67,58,29
Block 19,93,20,4,45,23,4,47,62,93,97,100,6,34,61,44,4,80,4,0,22,31,33,32,61,65,32,49,21,60,46,57,66,16,51,85,88,21,68,89
